,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,G
43,48628,21.341420461091605,22.396591281835885,1745,1,28000.0,121.30370802125377,,
44,48628,22.787620388879063,19.956837623560578,1885,1,7000.0,245.8019815557061,,
45,48628,19.781094975230182,20.738621288021704,1905,1,1000.0,269.23064074818234,,
46,48628,22.735978224695675,20.393802051769352,1925,1,1000.0,257.827756477467,,
47,43877,20.795149264535016,20.471365409888485,385,1,,,,
48,43877,19.931598704251154,19.591988578161605,445,1,3000.0,106.81554512112827,,
49,43877,19.0412926215924,21.612961159299623,825,1,19000.0,191.39365193032526,,
50,43877,20.07436670600848,20.74593512103382,1065,1,12000.0,116.88688107909049,,
51,43877,22.97748632968878,21.062903894041803,1485,1,21000.0,253.09900600185722,,
52,43877,20.9137604375567,23.199849560997684,2325,1,42000.0,257.46722544460806,,
53,43877,23.18303206903933,22.134425542767456,2445,1,6000.0,217.26776596535646,,
54,43877,24.06173566204076,20.563460186328264,2505,1,3000.0,156.00131559045707,,
55,43877,23.351357701358086,22.041252614147464,2525,1,1000.0,142.10451307958104,,
56,226261,20.63722784651282,21.36934029778552,505,1,,,,
57,226261,20.23336919796967,21.255052103221736,725,1,11000.0,36.37561527739875,,
58,226261,20.1818661032439,21.008106715216837,805,1,4000.0,21.86245341627534,,
59,226261,20.00878345363529,22.1196716720758,845,1,2000.0,97.49654214670198,,
60,226261,20.40325962407028,22.02486194177299,925,1,4000.0,35.161518008086034,,
61,226261,20.51492064427524,21.26439391055805,965,1,2000.0,66.6139340378876,,
62,226261,19.948673975356343,21.523674292547405,1065,1,5000.0,53.97475209282457,,
63,226261,19.473462958988577,20.97777354379552,1465,1,20000.0,62.72616620299578,,
64,226261,22.64664344376997,22.080021057323897,1945,1,24000.0,291.12819000619766,,
65,226261,20.62846666378552,22.058296891771416,2225,1,14000.0,174.91885450625313,,
66,168668,20.20856064967909,20.90562487710424,525,1,,,4.0,"b'\x80\x04\x95\xb0\x03\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@45d;\x11\x9a\xad\x8c\x01y\x94G@4\xe7\xd7\x08-\x9bS\x8c\x05frame\x94G@\x80h\x00\x00\x00\x00\x00\x8c\nframeRelat\x94G?\xf0\x00\x00\x00\x00\x00\x00uK\x01}\x94(h\nG@4\xe6F\x80g\x0c\xa4h\x0bG@4\xc1\xf4\xb1\xd7b\xfah\x0cG@\x82H\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x02}\x94(h\nG@4d\xec\xa1\x81R\xb9h\x0bG@3\xb8\xeb\xa8F\xe9\xb9h\x0cG@\x92\x84\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x03}\x94(h\nG@68m\x86\xfa\x98\xb7h\x0bG@4\x10\r/\x0f%\x92h\x0cG@\x99\x14\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x04}\x94(h\nG@5Ti\xa3:!\xffh\x0bG@4\x85\x99+\xf0\x02?h\x0cG@\x9bD\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x05}\x94(h\nG@5\xe5\xc7""\xea\x95\xd1h\x0bG@4\x97}\t\x81Luh\x0cG@\x9c4\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x06}\x94(h\nG@6\x17\xbb\xb1\xd3\x00\x9eh\x0bG@4u\xa9R\xe5$\xaah\x0cG@\xa2\x02\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x07}\x94(h\nG@4U8\x19\x7f\x10jh\x0bG@5\x157\xe3j\x9f\x90h\x0cG@\xa2\xa2\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uK\x08}\x94(h\nG@4\xa4]\x9a\xb4\x0f\x15h\x0bG@4=\x95gd\xd1Qh\x0cG@\xa6b\x00\x00\x00\x00\x00h\rG?\xf0\x00\x00\x00\x00\x00\x00uu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\xa7p\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@N\x9e\xcc\xac\xc5*\x0busK\x01}\x94K\x02}\x94(h\x1aG@\xddL\x00\x00\x00\x00\x00h\x1bG@X\xf5\xd9\x00\xe0\xd4;usK\x02}\x94K\x03}\x94(h\x1aG@\xd4\x82\x00\x00\x00\x00\x00h\x1bG@d\x1f\xd5t\xa9\x05:usK\x03}\x94K\x04}\x94(h\x1aG@\xbbX\x00\x00\x00\x00\x00h\x1bG@U\xb6,\xd50\xfa\x97usK\x04}\x94K\x05}\x94(h\x1aG@\xa7p\x00\x00\x00\x00\x00h\x1bG@H\xca\xaf\xf7\x05\x85\x0cusK\x05}\x94K\x06}\x94(h\x1aG@\xd8j\x00\x00\x00\x00\x00h\x1bG@4l\xaa\xa6\xe0f\xaausK\x06}\x94K\x07}\x94(h\x1aG@\xaf@\x00\x00\x00\x00\x00h\x1bG@d9\x9f\xf4<]=usK\x07}\x94K\x08}\x94(h\x1aG@\xd7p\x00\x00\x00\x00\x00h\x1bG@Sp\xda\xb63\x96zusK\x08}\x94u\x8c\x05_succ\x94h\x17\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x19sK\x02}\x94K\x01h\x1dsK\x03}\x94K\x02h\x1fsK\x04}\x94K\x03h!sK\x05}\x94K\x04h#sK\x06}\x94K\x05h%sK\x07}\x94K\x06h\'sK\x08}\x94K\x07h)suub.'"
67,168668,20.89951326862196,20.757639994701982,585,1,3000.0,61.24062118174705,5.0,
68,168668,20.394235700676948,19.722345845520724,1185,1,30000.0,99.8413698382946,3.0,
69,168668,22.220421253376767,20.062701169202747,1605,1,21000.0,160.9948066044979,2.0,
70,168668,21.329736901943757,20.521868463607685,1745,1,7000.0,86.84648637564747,5.0,
71,168668,21.897569830199988,20.591751665179306,1805,1,3000.0,49.58349502343671,1.0,
72,168668,22.09270774270464,20.459614926283997,2305,1,25000.0,20.424478940759094,1.0,
73,168668,20.33288726188804,21.08288403847797,2385,1,4000.0,161.8007756403912,4.0,
74,168668,20.64205328842134,20.24056097232216,2865,1,24000.0,77.76334910428878,3.0,
75,95184,22.10981579848095,18.408960208472248,1045,1,,,,
76,95184,23.70520164175793,22.02782178144544,1365,1,16000.0,342.76011571211365,,
77,95184,24.00292753875703,22.01621519340925,1685,1,16000.0,25.82252071802334,,
78,95184,23.917906289389126,22.011195545026943,1705,1,1000.0,7.381342198498224,,
79,95184,22.039089101936035,19.20263360290543,2145,1,22000.0,292.8510524142308,,
80,76647,20.84174093058681,21.38789478325257,565,1,,,,
81,76647,20.803355354912544,18.76240073085291,985,1,21000.0,227.56722318291202,,
82,76647,22.15465505705226,17.816798001052323,1005,1,1000.0,142.9389920379907,,
83,76647,21.86250545484077,22.351197073737755,1985,1,49000.0,393.7962268050024,,
84,76647,20.027447340394296,20.27638718622372,2305,1,16000.0,240.05697129416313,,
85,115563,23.9907825208141,17.93647134120171,605,1,,,,
86,115563,21.983414542459787,18.27142505988092,625,1,1000.0,176.3772788642489,,
87,115563,25.39701052912363,23.45441307704456,825,1,10000.0,537.8644770899919,,
88,115563,23.336012314254862,19.04019066002521,965,1,7000.0,422.2107138055819,,
89,115563,25.058983146663667,20.037048681746843,1045,1,4000.0,172.51581692609497,,
90,115563,24.29259106469629,18.930226363360457,1385,1,17000.0,116.67579824616995,,
91,115563,24.788950176403507,23.28357274821967,1585,1,10000.0,379.73464466439225,,
92,225121,20.29769827765565,24.05864213469601,525,1,,,,
93,225121,21.1887863804372,23.033794493517476,705,1,9000.0,117.69933581314612,,
94,225121,18.49584976371079,22.51255556595805,905,1,10000.0,237.719627521268,,
95,225121,22.641338680343964,22.64036150412529,1145,1,12000.0,359.4465489639687,,
96,225121,23.13018101255564,19.643267730963085,2865,1,86000.0,263.180639759128,,
97,117554,18.974912204107,20.149077880826407,465,1,,,,
98,117554,18.14790013971385,21.34861738446193,845,1,19000.0,126.27323246183467,,
99,117554,17.943144237612678,21.06950010541271,865,1,1000.0,30.001131888075577,,
100,117554,18.802912265705157,21.724477676594848,905,1,2000.0,93.67209733594966,,
101,117554,18.429924865383683,22.60431836696463,1405,1,25000.0,82.82177665561052,,
102,117554,19.47962055297871,23.20188666332949,1445,1,2000.0,104.68206992220401,,
103,117554,23.4592052306892,19.970803980266503,1545,1,5000.0,444.26291732677754,,
104,117554,23.655635215175977,19.31564806521751,1685,1,7000.0,59.27736266998884,,
105,117554,21.45404532748981,22.225440449560487,1805,1,6000.0,316.2312163349023,,
106,117554,17.347019831864134,22.530748594032893,1905,1,5000.0,356.92448537439657,,
107,117554,19.755655643252474,22.17737872717626,2025,1,6000.0,210.9830765827027,,
108,117554,19.812470635805184,20.96381094709876,2745,1,36000.0,105.29111310269394,,
109,156170,21.26615365461747,19.631738922799837,845,1,,,,
