,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,cluster_o,G
21,74982,23.079473057245128,22.269963627236542,1885,1,33000.0,342.2955206644846,5.0,-1.0,
22,74982,22.64158144193049,21.815702474093168,1965,1,4000.0,54.68265377383205,6.0,-1.0,
23,74982,21.098918967055663,19.046002216677252,2245,1,14000.0,274.76278692338644,7.0,0.0,
24,74982,20.485332579870786,19.37582674232408,2605,1,18000.0,60.37332409335306,8.0,-1.0,
25,74982,21.455188622352832,19.358573669273955,2685,1,4000.0,84.06752151069789,7.0,0.0,
26,51518,21.933708244246045,22.135318983838737,765,1,,,0.0,-1.0,"b'\x80\x04\x95\x07\x02\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@5\xef\x07\x80\xe5\n\xd7\x8c\x01y\x94G@6""\xa4C\xd2\x1d\x86uK\x01}\x94(h\nG@2\xe1\x06\xba\x8f\xfd\x06h\x0bG@6\x81\xbb\xe7w\x0fQuK\x02}\x94(h\nG@3p~\xa6F\x1f>h\x0bG@5\xbfzN\xd6MFuK\x03}\x94(h\nG@7\xec\x07\x86\x03\xb8\xadh\x0bG@5\xc2\x9a\xf9\xfd\xfc\x08uK\x04}\x94(h\nG@85\x92\xfd\x8cy\x89h\x0bG@4\xf2+F\xea\x18\x81uK\x05}\x94(h\nG@:\xc0\xdd\x9c\x9a\x06,h\x0bG@1\xb3\xf3\xc6\xc8kyuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\x9f@\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@p\xab\rX\xbb\xff/usK\x01}\x94K\x02}\x94(h\x15G@\x8d\xb0\x00\x00\x00\x00\x00h\x16G@U\xc9\x15\xc8\x15\x0evusK\x02}\x94K\x03}\x94(h\x15G@\xaex\x00\x00\x00\x00\x00h\x16G@^\xab\x99\xcf\x1e\x90\xdfusK\x03}\x94K\x04}\x94(h\x15G@\x8f@\x00\x00\x00\x00\x00h\x16G@R\xb4\xff7\xda\xdc\xbausK\x04}\x94K\x05}\x94(h\x15G@\xb2\xf2\x00\x00\x00\x00\x00h\x16G@je\xab\x93\x16A\xe9usK\x05}\x94u\x8c\x05_succ\x94h\x12\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x14sK\x02}\x94K\x01h\x18sK\x03}\x94K\x02h\x1asK\x04}\x94K\x03h\x1csK\x05}\x94K\x04h\x1esuub.'"
27,51518,18.87900892272321,22.506773439948407,805,1,2000.0,266.6908610251765,1.0,-1.0,
28,51518,19.439432518119467,21.747960021323955,1765,1,48000.0,81.75534044895765,2.0,-1.0,
29,51518,23.92198979941229,21.760177254207548,2085,1,16000.0,388.4898900475039,3.0,-1.0,
30,51518,24.20927414588508,20.94597285475948,2105,1,1000.0,74.82810606172693,4.0,-1.0,
31,51518,26.75338152656893,17.702938484125728,2265,1,8000.0,357.22826093754696,5.0,-1.0,
32,50024,21.40461416002416,21.466719174835912,765,1,,,0.0,-1.0,b'\x80\x04\x95M\x02\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@5g\x94\xcb(\xcdb\x8c\x01y\x94G@5wz\xe8hV\x1buK\x01}\x94(h\nG@5\xf1\xbd#\xe6}\x1ah\x0bG@6=J(\x8b\xe7\xf7uK\x02}\x94(h\nG@64W\xbc\xf1\xe2\xcch\x0bG@4\xeew^\xb9\x13suK\x03}\x94(h\nG@6\x9c@\xe3\x0b\x90th\x0bG@6\x13\x83\xb2\xbfI\x86uK\x04}\x94(h\nG@5\xf7;\x97\xbd\x80\xb0h\x0bG@5\x01\xc6\xe1\x169CuK\x05}\x94(h\nG@6L{\x91\xa9\xbe\xe3h\x0bG@2\x97\x0bp\xfa&suK\x06}\x94(h\nG@7\x84\x96\xaf\xa7\x9b\xbch\x0bG@2B&\xea\x17tXuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\x93\x88\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@bf\x138\xea\xbe\x8fusK\x01}\x94K\x02}\x94(h\x16G@\x8f@\x00\x00\x00\x00\x00h\x17G@\\\xe4\xa53\xff\xa7\xefusK\x02}\x94K\x03}\x94(h\x16G@r\xc0\x00\x00\x00\x00\x00h\x17G@9z\xbc\xc7]\x1a\x82usK\x03}\x94K\x04}\x94(h\x16G@\xa7\xd4\x00\x00\x00\x00\x00h\x17G@h7\xe0\x82\xe4\xa8\x13usK\x04}\x94K\x05}\x94(h\x16G@\x84P\x00\x00\x00\x00\x00h\x17G@Ea*\xd72\x90\xa4usK\x05}\x94K\x06}\x94(h\x16G@Y\x00\x00\x00\x00\x00\x00h\x17G@L\xdc\x16N\xa8\xb3\x97usK\x06}\x94u\x8c\x05_succ\x94h\x13\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x15sK\x02}\x94K\x01h\x19sK\x03}\x94K\x02h\x1bsK\x04}\x94K\x03h\x1dsK\x05}\x94K\x04h\x1fsK\x06}\x94K\x05h!suub.'
33,50024,21.944292300960207,22.239412817150846,1885,1,56000.0,81.68344340185939,1.0,-1.0,
34,50024,22.20446377664011,20.931508941826404,1905,1,1000.0,115.57262764922052,2.0,0.0,
35,50024,22.61036509544688,22.07622830553148,2105,1,10000.0,105.26127595408344,3.0,-1.0,
36,50024,21.96575306297808,21.006940906453803,2285,1,9000.0,108.20851041944964,2.0,0.0,
37,50024,22.29876051325017,18.590018330642533,2645,1,18000.0,211.4455899555744,4.0,-1.0,
38,50024,23.517924288196568,18.25840628693217,2665,1,1000.0,109.49976082564639,5.0,-1.0,
